@T,table,,,
Created,7/20/17 10:01,,,
Author,HortonMachine library,,,
@H,timestamp,value_42,,
ID,,42,,
Type,Date,Double,,
Format,yyyy-MM-dd HH:mm,,,
,1995-02-04 00:00,0,0,0
,1995-02-05 00:00,0,0,0
,1995-02-06 00:00,0.140140716,1.126278849,8.03677104
,1995-02-07 00:00,0.684775373,3.487222189,5.092505263
,1995-02-08 00:00,0.124641153,0,0
,1995-02-09 00:00,0.041508514,0.311255749,7.498600078
,1995-02-10 00:00,0.284315301,1.875899135,6.5979535
,1995-02-11 00:00,0.0172398,0,0
,1995-02-12 00:00,0.027797364,0.265706892,9.558708212
,1995-02-13 00:00,0.457982341,2.746312875,5.996547524
,1995-02-14 00:00,0.28501869,1.29994785,4.560921421
,1995-02-15 00:00,0.446081998,2.406301225,5.39430247
,1995-02-16 00:00,0.981722813,4.52696439,4.611244979
,1995-02-17 00:00,0.861163828,3.253695723,3.778254053
,1995-02-18 00:00,1.382031827,5.816187824,4.208432621
,1995-02-19 00:00,0.77657264,2.299069797,2.96053412
,1995-02-20 00:00,0.281754642,1.096962851,3.893326636
,1995-02-21 00:00,0.051563515,0.613636902,11.9006026
,1995-02-22 00:00,0.643052061,3.979610561,6.188628883
,1995-02-23 00:00,0.231491056,1.130707044,4.8844524
,1995-02-24 00:00,0.002444483,0,0
,1995-02-25 00:00,1.33E-05,0,0
,1995-02-26 00:00,8.65E-08,0,0
,1995-02-27 00:00,3.09E-10,0,0
,1995-02-28 00:00,8.12E-13,0,0
,1995-03-01 00:00,0,0,0
,1995-03-02 00:00,0,0,0
,1995-03-03 00:00,0,0,0
,1995-03-04 00:00,0,0,0
,1995-03-05 00:00,0,0,0
,1995-03-06 00:00,0,0,0
,1995-03-07 00:00,0,0,0
,1995-03-08 00:00,0,0,0
,1995-03-09 00:00,0,0,0
,1995-03-10 00:00,0,0,0
,1995-03-11 00:00,0,0,0
,1995-03-12 00:00,0,0,0
,1995-03-13 00:00,0,0,0
,1995-03-14 00:00,0,0,0
,1995-03-15 00:00,0,0,0
,1995-03-16 00:00,0,0,0
,1995-03-17 00:00,0,0,0
,1995-03-18 00:00,0,0,0
,1995-03-19 00:00,0,0,0
,1995-03-20 00:00,0.020654792,0.591273201,28.62644233
,1995-03-21 00:00,0.009528683,0.267040321,28.02489153
,1995-03-22 00:00,0.052602229,1.554096104,29.54430107
,1995-03-23 00:00,0.052287346,1.558525409,29.80693304
,1995-03-24 00:00,0.233493277,4.164233083,17.83448816
,1995-03-25 00:00,0.320504625,4.378563818,13.66146846
,1995-03-26 00:00,0.724987585,6.167199959,8.506628368
,1995-03-27 00:00,0.900533723,6.346084827,7.047026293
,1995-03-28 00:00,8.68E-04,0,0
,1995-03-29 00:00,5.51E-08,0,0
,1995-03-30 00:00,2.68E-12,0,0
,1995-03-31 00:00,0.004381273,0.140844717,32.14698142
,1995-04-01 00:00,0.091838528,3.15021976,34.30172307
